country,export,latitude,longitude
Aruba,519050.31,12.52111,-69.968338
Afghanistan,750615.21,33.93911,67.709953
Angola,536171.05,-11.202692,17.873887
Anguilla,88572.81,18.220554,-63.068615
Albania,85664.14,41.153332,20.168331
Andorra,3350.39,42.546245,1.601554
United Arab Emirates,20035803.2,23.424076,53.847818
Argentina,8078856.73,-38.416097,-63.616672
Armenia,52903.98,40.069099,45.038189
Antigua and Barbuda,478081.16,17.060816,-61.796428
Australia,26018549.25,-25.274398,133.775136
Austria,5724687.38,47.516231,14.550072
Azerbaijan,375424.82,40.143105,47.576927
Burundi,2451.93,-3.373056,29.918886
Belgium,34768383.03,50.503887,4.469936
Benin,267015.38,9.30769,2.315834
Burkina Faso,66900.57,12.238333,-1.561593
Bangladesh,2327031.04,23.684994,90.356331
Bulgaria,462385.18,42.733883,25.48583
Bahrain,1407866.99,25.930414,50.637772
Bahamas,3317534.35,25.03428,-77.39628
Bosnia and Herzegovina,60303.97,43.915886,17.679076
Belarus,125041.9,53.709807,27.953389
Belize,393099.4,17.189877,-88.49765
Bermuda,577615.95,32.321384,-64.75737
Bolivia,537974.71,-16.290154,-63.588653
Brazil,43083195.64,-14.235004,-51.92528
Barbados,568601.98,13.193887,-59.543198
Brunei,285066.76,4.535277,114.727669
Bhutan,2840.05,27.514162,90.433601
Botswana,104498.25,-22.328474,24.684866
Central African Republic,36993.5,6.611111,20.939444
Canada,292338433.4,56.130366,-106.346771
Cocos [Keeling] Islands,83.23,-12.164165,96.870956
Switzerland,17859091.32,46.818188,8.227512
Chile,15776197.12,-35.675147,-71.542969
China,106626645.1,35.86166,104.195397
Cote d'Ivoire,278448.18,7.539989,-5.54708
Cameroon,200426.85,7.369722,12.354722
Congo [Republic],105327.4,-0.228021,15.827659
Cook Islands,10645.07,-21.236736,-159.777671
Colombia,14780136.22,4.570868,-74.297333
Comoros,1512.99,-11.875001,43.872219
Cape Verde,7771.33,16.002082,-24.013197
Costa Rica,6205931.35,9.748917,-83.753428
Cuba,286800.85,21.521757,-77.781167
Christmas Island,1596.43,-10.447525,105.690449
Cayman Islands,1124271.73,19.513469,-80.566956
Cyprus,202557.13,35.126413,33.429859
Czech Republic,2790143.08,49.817492,15.472962
Germany,59797035.62,51.165691,10.451526
Djibouti,154082.65,11.825138,42.590275
Dominica,346203.66,15.414999,-61.370976
Denmark,3159795.2,56.26392,9.501785
Dominican Republic,9207741.79,18.735693,-70.162651
Algeria,999323.37,28.033886,1.659626
Ecuador,5517834.75,-1.831239,-78.183406
Egypt,5485805.24,26.820553,30.802498
Eritrea,14322,15.179384,39.782334
Western Sahara,21197.77,24.215527,-12.885834
Spain,15101338.41,40.463667,-3.74922
Estonia,364907.05,58.595272,25.013607
Ethiopia,1020996.07,9.145,40.489673
Finland,1763243.72,61.92411,25.748151
Fiji,103183.71,-16.578193,179.414413
Falkland Islands [Islas Malvinas],317.78,-51.796253,-59.523613
France,38751856.5,46.227638,2.213749
Faroe Islands,3170.13,61.892635,-6.911806
Micronesia,45145.27,7.425554,150.550812
Gabon,129351.46,-0.803689,11.609444
United Kingdom,69100919.87,55.378051,-3.435973
Georgia,768450.29,42.315407,43.356892
Ghana,837423.03,7.946527,-1.023194
Gibraltar,1421704.83,36.137741,-5.345374
Guinea,125294.74,9.945587,-9.696645
Gambia,44993.58,13.443182,-15.310139
Guinea-Bissau,1244.38,11.803749,-15.180413
Equatorial Guinea,214768.34,1.650801,10.267895
Greece,1443537.6,39.074208,21.824312
Grenada,118189.43,12.262776,-61.604171
Greenland,18557.71,71.706936,-42.604303
Guatemala,6830354.5,15.783471,-90.230759
Guyana,672114.98,4.860416,-58.93018
Hong Kong,30758742.93,22.396428,114.109497
Heard Island and McDonald Islands,121.72,-53.08181,73.504158
Honduras,5475096.21,15.199999,-86.241905
Croatia,712978.75,45.1,15.2
Haiti,1235440.75,18.971187,-72.285215
Hungary,1917525.43,47.162494,19.503304
Indonesia,7758071.95,-0.789275,113.921327
India,34409574.57,20.593684,78.96288
Ireland,9030509.02,53.41291,-8.24389
Iran,73141.77,32.427908,53.688046
Iraq,1277907.3,33.223191,43.679291
Iceland,555006.69,64.963051,-19.020835
Israel,14376607.47,31.046051,34.851612
Italy,23788415.9,41.87194,12.56738
Jamaica,2498685.21,18.109581,-77.297508
Jordan,1474445.83,30.585164,36.238414
Japan,74650662.38,36.204824,138.252924
Kazakhstan,736903.62,48.019573,66.923684
Kenya,391025.03,-0.023559,37.906193
Kyrgyzstan,20952.96,41.20438,74.766098
Cambodia,513421.99,12.565679,104.990963
Kiribati,2188.14,-3.370417,-168.734039
